"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","questionNo","questionOrder","version","task","view_history","rt","responses","stimulus","key_press","testNo","testOrder","correct"
"","html-keyboard-response","102","595489","0.0-18.0-0.0","01234","shuffled","3","3","sameness","explain","","1746","","<div class='bongard-image'><img src='img/4_levels.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","103","694133","0.0-18.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","98639","{""Q0"":""only one-shape branches"",""Q1"":""at least one branch with two shapes""}","","","","",""
"","html-keyboard-response","104","696737","0.0-18.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2603","","4_levels","74","5","0","1"
"","html-keyboard-response","105","699870","0.0-18.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","3132","","4_levels","70","2","1","0"
"","html-keyboard-response","106","705304","0.0-18.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","5432","","4_levels","70","0","2","1"
"","html-keyboard-response","107","706352","0.0-18.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","1047","","4_levels","74","1","3","0"
"","html-keyboard-response","108","710503","0.0-18.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","4149","","4_levels","74","3","4","1"
"","html-keyboard-response","109","712042","0.0-18.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1538","","4_levels","70","4","5","0"
"","html-keyboard-response","110","717628","0.0-19.0-0.0","01234","shuffled","3","3","sameness","explain","","5585","","<div class='bongard-image'><img src='img/0_levels.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","111","729844","0.0-19.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","12211","{""Q0"":""one-level branching"",""Q1"":""two-level branching""}","","","","",""
"","html-keyboard-response","112","731565","0.0-19.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","1719","","0_levels","70","4","0","0"
"","html-keyboard-response","113","732304","0.0-19.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","738","","0_levels","74","3","1","1"
"","html-keyboard-response","114","734420","0.0-19.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","2116","","0_levels","74","1","2","0"
"","html-keyboard-response","115","735328","0.0-19.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","906","","0_levels","70","0","3","1"
"","html-keyboard-response","116","738582","0.0-19.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","3253","","0_levels","70","5","4","0"
"","html-keyboard-response","117","747762","0.0-19.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","9179","","0_levels","70","2","5","0"
"","html-keyboard-response","118","752889","0.0-20.0-0.0","01234","shuffled","3","3","sameness","explain","","5126","","<div class='bongard-image'><img src='img/2_levels.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","119","769384","0.0-20.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","16491","{""Q0"":""one-level bubbles"",""Q1"":""bubbling on bubbles""}","","","","",""
"","html-keyboard-response","120","771855","0.0-20.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2469","","2_levels","70","2","0","0"
"","html-keyboard-response","121","773319","0.0-20.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1462","","2_levels","70","0","1","1"
"","html-keyboard-response","122","775741","0.0-20.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","2421","","2_levels","70","3","2","0"
"","html-keyboard-response","123","777866","0.0-20.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","2123","","2_levels","70","4","3","0"
"","html-keyboard-response","124","779500","0.0-20.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1632","","2_levels","74","5","4","1"
"","html-keyboard-response","125","781898","0.0-20.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","2396","","2_levels","74","1","5","0"
"","html-keyboard-response","126","783054","0.0-21.0-0.0","01234","shuffled","3","3","sameness","explain","","1156","","<div class='bongard-image'><img src='img/2_angularity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","127","835123","0.0-21.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","52064","{""Q0"":""wide/ blunt angle on triangle"",""Q1"":""only sharp angles on triangle (less than 90 degrees)""}","","","","",""
"","html-keyboard-response","128","837220","0.0-21.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2093","","2_angularity","74","0","0","0"
"","html-keyboard-response","129","837920","0.0-21.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","699","","2_angularity","74","2","1","1"
"","html-keyboard-response","130","838988","0.0-21.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1067","","2_angularity","70","5","2","0"
"","html-keyboard-response","131","841158","0.0-21.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","2168","","2_angularity","74","4","3","1"
"","html-keyboard-response","132","842038","0.0-21.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","879","","2_angularity","70","1","4","1"
"","html-keyboard-response","133","842770","0.0-21.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","730","","2_angularity","70","3","5","0"
"","html-keyboard-response","134","846396","0.0-22.0-0.0","01234","shuffled","3","3","sameness","explain","","3625","","<div class='bongard-image'><img src='img/3_angularity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","135","862774","0.0-22.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","16374","{""Q0"":""one wide angle"",""Q1"":""only sharp angles""}","","","","",""
"","html-keyboard-response","136","865410","0.0-22.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2634","","3_angularity","70","4","0","0"
"","html-keyboard-response","137","866101","0.0-22.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","690","","3_angularity","70","0","1","1"
"","html-keyboard-response","138","866764","0.0-22.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","661","","3_angularity","74","1","2","0"
"","html-keyboard-response","139","867516","0.0-22.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","751","","3_angularity","70","2","3","0"
"","html-keyboard-response","140","868175","0.0-22.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","658","","3_angularity","74","5","4","1"
"","html-keyboard-response","141","869326","0.0-22.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1150","","3_angularity","74","3","5","1"
"","html-keyboard-response","142","873305","0.0-23.0-0.0","01234","shuffled","3","3","sameness","explain","","3978","","<div class='bongard-image'><img src='img/0_angularity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","143","898594","0.0-23.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","25284","{""Q0"":""\""broken\"" line forms a wide angle"",""Q1"":""\""broken\"" line forms a sharp angle""}","","","","",""
"","html-keyboard-response","144","900574","0.0-23.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","1979","","0_angularity","70","2","0","0"
"","html-keyboard-response","145","904722","0.0-23.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","4147","","0_angularity","74","1","1","0"
"","html-keyboard-response","146","905528","0.0-23.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","805","","0_angularity","74","5","2","1"
"","html-keyboard-response","147","906507","0.0-23.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","976","","0_angularity","74","3","3","1"
"","html-keyboard-response","148","907966","0.0-23.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1458","","0_angularity","70","0","4","1"
"","html-keyboard-response","149","908617","0.0-23.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","649","","0_angularity","70","4","5","0"
"","html-keyboard-response","150","913134","0.0-24.0-0.0","01234","shuffled","3","3","sameness","explain","","4516","","<div class='bongard-image'><img src='img/4_angularity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","151","927934","0.0-24.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","14794","{""Q0"":""two lines form a wide angle"",""Q1"":""two lines form a sharp angle""}","","","","",""
"","html-keyboard-response","152","929549","0.0-24.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","1614","","4_angularity","70","2","0","0"
"","html-keyboard-response","153","930382","0.0-24.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","832","","4_angularity","70","4","1","0"
"","html-keyboard-response","154","931020","0.0-24.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","636","","4_angularity","74","1","2","0"
"","html-keyboard-response","155","931950","0.0-24.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","928","","4_angularity","74","5","3","1"
"","html-keyboard-response","156","932895","0.0-24.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","943","","4_angularity","70","0","4","1"
"","html-keyboard-response","157","935079","0.0-24.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","2184","","4_angularity","74","3","5","1"
"","html-keyboard-response","158","939489","0.0-25.0-0.0","01234","shuffled","3","3","sameness","explain","","4408","","<div class='bongard-image'><img src='img/1_angularity.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","159","961139","0.0-25.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","21645","{""Q0"":""triangle formed by black dots has one wide angle"",""Q1"":""sharp angled black-dot triangle""}","","","","",""
"","html-keyboard-response","160","963598","0.0-25.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2456","","1_angularity","74","0","0","0"
"","html-keyboard-response","161","964605","0.0-25.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1006","","1_angularity","74","4","1","1"
"","html-keyboard-response","162","965854","0.0-25.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1247","","1_angularity","70","3","2","0"
"","html-keyboard-response","163","966656","0.0-25.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","800","","1_angularity","70","1","3","1"
"","html-keyboard-response","164","967477","0.0-25.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","819","","1_angularity","74","2","4","1"
"","html-keyboard-response","165","969774","0.0-25.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","2296","","1_angularity","70","5","5","0"
"","html-keyboard-response","166","1089776","0.0-26.0-0.0","01234","shuffled","3","3","sameness","explain","","null","","<div class='bongard-image'><img src='img/1_sameness.png' height='416' width='558'></img></div>","null","","",""
"","survey-text","167","1177331","0.0-26.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","87548","{""Q0"":""no idea! white dots equidistant? doesn't quite make sense though because there are panels with just two dots (panel 6 could belong to either under that rule)...."",""Q1"":""no idea! white dots not equidistant? doesn't quite make sense though because there are panels with just two dots....""}","","","","",""
"","html-keyboard-response","168","1182356","0.0-26.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","5023","","1_sameness","70","1","0","1"
"","html-keyboard-response","169","1188428","0.0-26.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","6071","","1_sameness","70","4","1","0"
"","html-keyboard-response","170","1211453","0.0-26.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","23024","","1_sameness","74","2","2","1"
"","html-keyboard-response","171","1214522","0.0-26.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","3068","","1_sameness","74","0","3","0"
"","html-keyboard-response","172","1216844","0.0-26.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","2321","","1_sameness","70","5","4","0"
"","html-keyboard-response","173","1219738","0.0-26.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","2892","","1_sameness","70","3","5","0"
"","html-keyboard-response","174","1240558","0.0-27.0-0.0","01234","shuffled","3","3","sameness","explain","","20819","","<div class='bongard-image'><img src='img/4_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","175","1253841","0.0-27.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","13277","{""Q0"":""shapes same size"",""Q1"":""shapes different sizes""}","","","","",""
"","html-keyboard-response","176","1256762","0.0-27.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2919","","4_sameness","74","3","0","1"
"","html-keyboard-response","177","1257774","0.0-27.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1011","","4_sameness","70","4","1","0"
"","html-keyboard-response","178","1258897","0.0-27.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","1122","","4_sameness","74","1","2","0"
"","html-keyboard-response","179","1262394","0.0-27.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","3496","","4_sameness","74","5","3","1"
"","html-keyboard-response","180","1263286","0.0-27.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","891","","4_sameness","70","0","4","1"
"","html-keyboard-response","181","1264134","0.0-27.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","846","","4_sameness","70","2","5","0"
"","html-keyboard-response","182","1269498","0.0-28.0-0.0","01234","shuffled","3","3","sameness","explain","","5364","","<div class='bongard-image'><img src='img/2_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","183","1282385","0.0-28.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","12880","{""Q0"":""shapes same length"",""Q1"":""shapes different lengths""}","","","","",""
"","html-keyboard-response","184","1284667","0.0-28.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2280","","2_sameness","74","2","0","1"
"","html-keyboard-response","185","1285908","0.0-28.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1241","","2_sameness","70","4","1","0"
"","html-keyboard-response","186","1313378","0.0-28.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","27469","","2_sameness","70","5","2","0"
"","html-keyboard-response","187","1314319","0.0-28.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","940","","2_sameness","74","0","3","0"
"","html-keyboard-response","188","1325816","0.0-28.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","11496","","2_sameness","70","3","4","0"
"","html-keyboard-response","189","1329458","0.0-28.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","3641","","2_sameness","74","1","5","0"
"","html-keyboard-response","190","1337096","0.0-29.0-0.0","01234","shuffled","3","3","sameness","explain","","7636","","<div class='bongard-image'><img src='img/0_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","191","1360249","0.0-29.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","23149","{""Q0"":""same number circles and squares"",""Q1"":""different number circles and squares""}","","","","",""
"","html-keyboard-response","192","1362398","0.0-29.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2147","","0_sameness","70","3","0","0"
"","html-keyboard-response","193","1364001","0.0-29.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1602","","0_sameness","74","0","1","0"
"","html-keyboard-response","194","1367545","0.0-29.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","3542","","0_sameness","74","1","2","0"
"","html-keyboard-response","195","1368715","0.0-29.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","1168","","0_sameness","70","4","3","0"
"","html-keyboard-response","196","1370326","0.0-29.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1609","","0_sameness","74","2","4","1"
"","html-keyboard-response","197","1371812","0.0-29.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1486","","0_sameness","70","5","5","0"
"","html-keyboard-response","198","1374122","0.0-30.0-0.0","01234","shuffled","3","3","sameness","explain","","2309","","<div class='bongard-image'><img src='img/3_sameness.png' height='416' width='558'></img></div>","32","","",""
"","survey-text","199","1407073","0.0-30.0-1.0-0.0","01234","shuffled","3","3","sameness","explain","","32944","{""Q0"":""shapes point in same direction"",""Q1"":""shapes point in different directions""}","","","","",""
"","html-keyboard-response","200","1409596","0.0-30.0-2.0-0.0","01234","shuffled","3","3","sameness","explain","","2521","","3_sameness","70","0","0","1"
"","html-keyboard-response","201","1410949","0.0-30.0-2.0-1.0","01234","shuffled","3","3","sameness","explain","","1351","","3_sameness","74","5","1","1"
"","html-keyboard-response","202","1413036","0.0-30.0-2.0-2.0","01234","shuffled","3","3","sameness","explain","","2086","","3_sameness","74","3","2","1"
"","html-keyboard-response","203","1415417","0.0-30.0-2.0-3.0","01234","shuffled","3","3","sameness","explain","","2378","","3_sameness","70","2","3","0"
"","html-keyboard-response","204","1416567","0.0-30.0-2.0-4.0","01234","shuffled","3","3","sameness","explain","","1149","","3_sameness","70","4","4","0"
"","html-keyboard-response","205","1417628","0.0-30.0-2.0-5.0","01234","shuffled","3","3","sameness","explain","","1059","","3_sameness","70","1","5","1"
"","survey-text","206","1437850","0.0-31.0","01234","shuffled","3","3","sameness","explain","","20222","{""Q0"":""why is this text box here? I only see a text box....""}","","","","",""
